"Compounds ID"	"Tags"	"Checked"	"Name"	"Formula"	"Annot. Source: Predicted Compositions"	"Annot. Source: mzCloud Search"	"Annot. Source: mzVault Search"	"Annot. Source: ChemSpider Search"	"Annot. DeltaMass [ppm]"	"Calc. MW"	"m/z"	"RT [min]"	"Area (Max.)"	"# ChemSpider Results"	"# mzCloud Results"	"# mzVault Results"	"mzCloud Best Match"	"mzCloud Best Match Confidence"	"mzCloud Best Sim. Match"	"mzVault Best Match"	"# Usable QC"	"RSD QC Areas [%]"	"RSD Corr. QC Areas [%]"	"MS2"	"Reference Ion"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 1.raw (F1)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 2.raw (F2)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 3.raw (F3)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 4.raw (F4)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 5.raw (F5)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 6.raw (F6)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 7.raw (F7)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 8.raw (F8)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 9.raw (F9)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 10.raw (F10)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 11.raw (F11)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 12.raw (F12)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 13.raw (F13)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 14.raw (F14)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 15.raw (F15)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 16.raw (F16)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 17.raw (F17)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 18.raw (F18)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 19.raw (F19)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 20.raw (F20)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 21.raw (F21)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 22.raw (F22)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 23.raw (F23)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 24.raw (F24)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 25.raw (F25)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 26.raw (F26)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 27.raw (F27)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 28.raw (F28)"	"Norm. Area: 220923_SG_Fredrik_RP_extractionblank_2.raw (F32)"	"Norm. Area: 220923_SG_Fredrik_RP_QCPool_1.raw (F36)"	"Norm. Area: 220923_SG_Fredrik_RP_QCPool_2.raw (F37)"	"Norm. Area: 220923_SG_Fredrik_RP_QCPool_3.raw (F38)"	"Norm. Area: 220923_SG_Fredrik_RP_QCPool_4.raw (F39)"	"Norm. Area: 220923_SG_Fredrik_RP_QCPool_5.raw (F40)"	"Norm. Area: 220923_SG_Fredrik_RP_QCPool_6.raw (F41)"	"Norm. Area: 220923_SG_Fredrik_RP_QCPool_7.raw (F42)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 1.raw (F1)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 2.raw (F2)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 3.raw (F3)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 4.raw (F4)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 5.raw (F5)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 6.raw (F6)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 7.raw (F7)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 8.raw (F8)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 9.raw (F9)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 10.raw (F10)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 11.raw (F11)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 12.raw (F12)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 13.raw (F13)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 14.raw (F14)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 15.raw (F15)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 16.raw (F16)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 17.raw (F17)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 18.raw (F18)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 19.raw (F19)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 20.raw (F20)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 21.raw (F21)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 22.raw (F22)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 23.raw (F23)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 24.raw (F24)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 25.raw (F25)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 26.raw (F26)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 27.raw (F27)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 28.raw (F28)"	"Peak Rating: 220923_SG_Fredrik_RP_extractionblank_2.raw (F32)"	"Peak Rating: 220923_SG_Fredrik_RP_QCPool_1.raw (F36)"	"Peak Rating: 220923_SG_Fredrik_RP_QCPool_2.raw (F37)"	"Peak Rating: 220923_SG_Fredrik_RP_QCPool_3.raw (F38)"	"Peak Rating: 220923_SG_Fredrik_RP_QCPool_4.raw (F39)"	"Peak Rating: 220923_SG_Fredrik_RP_QCPool_5.raw (F40)"	"Peak Rating: 220923_SG_Fredrik_RP_QCPool_6.raw (F41)"	"Peak Rating: 220923_SG_Fredrik_RP_QCPool_7.raw (F42)"
"58"	"A"	"False"	"SPERMIDINE"	"C7 H19 N3"	"Full match"	"Partial match"	"Full match"	"Partial match"	"-0.03"	"145.15789"	"146.16517"	"0.857"	"148996539.736402"	"4"	"11"	"1"	"91.7"	"41.1"	"25.9"	"84.0"	"7"	"2"	"1"	"PreferredDDA"	"[M+H]+1"	"48275209.0784912"	"70700853.9107238"	"132861886.072048"	"77092848.8542911"	"53067665.0981367"	"72045154.2710557"	"88382764.300294"	"149740336.810447"	"124233182.611577"	"95580187.9244144"	"59699392.0105603"	"30802107.5084767"	"116359905.842281"	"64561604.5928091"	"47968263.4518359"	"93671565.3695343"	"83205570.8143511"	"83889576.709305"	"57298934.2952845"	"103529711.399976"	"49377868.346776"	"89405115.4280867"	"41483540.9561277"	"104997810.88154"	"111971403.647155"	"52391759.3318682"	"86994333.2717885"	"122116802.079866"	"10136.2746886144"	"84581583.0684469"	"81579417.4228323"	"82355567.0996934"	"83002882.5794522"	"82610639.2925326"	"84199572.5377406"	"81988672.1608198"	"6.7"	"8.4"	"8.4"	"8.9"	"8.4"	"8.4"	"8.4"	"8.9"	"8.4"	"8.9"	"8.4"	"7.8"	"8.4"	"8.4"	"8.4"	"8.9"	"8.4"	"8.9"	"8.4"	"8.4"	"8.4"	"8.4"	"8.4"	"8.9"	"8.9"	"8.4"	"8.9"	"8.9"	""	"8.4"	"8.4"	"8.4"	"8.4"	"8.4"	"8.4"	"8.4"
"81"	"D"	"False"	"1-[(11Z,14Z)]-icosadienoyl-sn-glycero-3-phosphocholine"	"C28 H54 N O7 P"	"Full match"	"Invalid mass"	"No results"	"Not the top hit"	"0.70"	"547.36417"	"548.37145"	"14.008"	"147910584.017009"	"3"	"3"	"0"	""	""	"23.1"	""	"7"	"3"	"1"	"PreferredDDA"	"[M+H]+1"	"94885244.3031912"	"109900505.604652"	"90707297.7603616"	"94070576.3807802"	"83885374.1883192"	"92552975.2080175"	"68788203.902696"	"84854926.2242985"	"49228421.1091502"	"62980687.5191082"	"97731346.9435937"	"79377127.8442262"	"128676951.786444"	"83469046.498172"	"103608054.955189"	"63481392.375943"	"69275077.6049315"	"92081390.907495"	"67212789.4804505"	"63026286.4774207"	"105021388.673954"	"107743630.91321"	"105012208.309815"	"115317192.288278"	"38672001.8510445"	"75230507.3926592"	"144175692.330853"	"58718164.3894951"	"15908.0780314444"	"96363202.3024214"	"96977454.6993015"	"97701733.9145061"	"95365083.0294981"	"94874088.6806452"	"97500224.1881127"	"97156478.3392176"	"8.9"	"8.9"	"8.9"	"8.4"	"8.9"	"8.9"	"8.9"	"8.4"	"8.9"	"8.9"	"8.9"	"8.4"	"8.9"	"8.9"	"8.9"	"8.4"	"8.9"	"8.9"	"8.9"	"8.4"	"8.9"	"8.9"	"8.9"	"8.9"	"9.5"	"8.9"	"8.9"	"8.9"	""	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"
"86"	"C"	"False"	"13-(dodecan-2-yl)-6-(1-hydroxyethyl)-3-(hydroxymethyl)-12-methyl-9-(propan-2-yl)-1-oxa-4,7,10-triazacyclotridecane-2,5,8,11-tetrone"	"C28 H51 N3 O7"	"No match"	"Invalid mass"	"No results"	"No match"	"-33264.70"	"523.36410"	"524.37138"	"14.585"	"143718247.330753"	"4"	"4"	"0"	"45.5"	"43.6"	"23.2"	""	"7"	"3"	"2"	"PreferredDDA"	"[M+H]+1"	"79265683.3211354"	"147515779.548605"	"126623080.290462"	"95068085.1824452"	"86636623.6067667"	"90706437.534388"	"69638080.1004745"	"138182382.188102"	"78254191.874761"	"92762018.3967178"	"92896496.2509508"	"85037898.5309809"	"122844526.677518"	"124440422.279793"	"84218001.7653324"	"109849418.220876"	"112467718.254878"	"100036843.435869"	"58844653.7006996"	"65507680.8389023"	"79308932.9746719"	"70913637.0055349"	"99351385.8209396"	"93981497.1562717"	"44382448.2045817"	"56027693.1778203"	"117210736.74462"	"89937613.6461169"	"15574.9984423327"	"103357873.180801"	"104281815.912899"	"104701593.264771"	"100184811.141204"	"102717855.591972"	"106368174.800556"	"102256875.41021"	"8.4"	"7.8"	"7.8"	"7.8"	"7.8"	"7.8"	"8.4"	"8.4"	"8.4"	"8.4"	"7.8"	"8.4"	"7.8"	"7.8"	"7.8"	"7.8"	"7.8"	"8.4"	"7.8"	"7.8"	"7.8"	"7.8"	"7.8"	"7.8"	"7.8"	"7.8"	"7.8"	"7.8"	""	"7.8"	"8.4"	"7.8"	"7.8"	"7.8"	"7.8"	"8.4"
"209"	"E"	"False"	"[Similar to: NP-003316; ?Mass: 76.0994 Da]"	"C24 H46 N7 O5 P"	"Full match"	"Invalid mass"	"No results"	"No results"	"0.70"	"543.33019"	"544.33746"	"13.609"	"142034756.045253"	"0"	"1"	"0"	""	""	"23.3"	""	"7"	"6"	"3"	"PreferredDDA"	"[M+H]+1"	"130912953.722877"	"131008881.341317"	"119034834.31815"	"124115367.979441"	"114494490.264845"	"121217526.510353"	"114218762.253532"	"121104361.563149"	"99234012.2166353"	"112491393.165309"	"118458128.678649"	"128715406.022077"	"136778632.287098"	"121960437.817127"	"121212915.06756"	"107306614.417185"	"111451892.971029"	"114592856.76206"	"105247174.127596"	"105222091.310101"	"122382570.383456"	"137097002.129636"	"136729828.744075"	"121935790.608895"	"85200252.9052707"	"115617865.26057"	"125175677.635633"	"106893668.370762"	"40343.9329972448"	"122931352.484341"	"125197312.522623"	"126417376.597314"	"121310934.317948"	"122305364.864986"	"130433594.940625"	"119845321.114412"	"6.7"	""	""	""	""	""	""	""	""	""	"7.3"	""	""	"6.7"	""	""	""	""	""	""	""	""	"6.7"	"7.3"	""	"8.4"	"7.8"	""	""	""	"7.3"	"7.3"	""	""	"7.3"	""
"68"	"C"	"False"	"4-{[5-(7-hydroxy-5,5,8a-trimethyl-2-methylidene-decahydronaphthalen-1-yl)-3-methylpentyl]oxy}-4-oxobutanoic acid"	"C24 H40 O5"	"No match"	"Invalid mass"	"No results"	"No match"	"41702.92"	"425.31436"	"426.32164"	"10.119"	"139985773.14756"	"1"	"3"	"0"	"44.6"	"7.2"	"25.4"	""	"7"	"0"	"0"	"PreferredDDA"	"[M+H]+1"	"26014237.8378927"	"1752409.31900382"	"2384739.11805824"	"6494836.71703601"	"5808510.30649169"	"6441224.40104931"	"8083453.99634548"	"16816902.4727416"	"15569855.1374573"	"140005074.076717"	"13998769.5036931"	"5098967.84554006"	"11586460.8166466"	"2976918.14343821"	"14962382.8481123"	"10469166.9829471"	"68887852.2169805"	"16094976.1678128"	"10702062.2780566"	"9750638.82456093"	"14512305.6394898"	"4968852.46436942"	"6893635.53642711"	"27515499.6938391"	"45321202.3453211"	"10554397.3206437"	"31758266.8295424"	"18524589.9643476"	"8049.36295225764"	"21019434.042212"	"21051526.6899702"	"21130556.9093357"	"21055008.3612929"	"21170701.8610416"	"20900988.0812456"	"21142262.9002221"	"9.5"	"8.6"	"9.1"	"8.9"	"9.5"	"9.5"	"9.5"	"10.0"	"10.0"	"10.0"	"9.5"	"9.5"	"10.0"	"9.1"	"9.5"	"10.0"	"9.5"	"9.5"	"8.9"	"9.5"	"9.5"	"9.5"	"9.5"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	""	"9.5"	"10.0"	"10.0"	"10.0"	"9.5"	"9.5"	"10.0"
"57"	"B"	"False"	"Prolylleucine"	"C11 H20 N2 O3"	"Full match"	"Full match"	"No results"	"Partial match"	"-0.30"	"228.14732"	"229.15460"	"1.364"	"137507739.40306"	"7"	"10"	"0"	"77.3"	"8.9"	"40.3"	""	"7"	"6"	"6"	"PreferredDDA"	"[M+H]+1"	"36392287.441553"	"87359204.5169289"	"95720298.3019383"	"48463805.2254431"	"42303246.4960405"	"48284971.7294461"	"53621051.0681886"	"137610294.913702"	"78902656.5161544"	"71367185.8715096"	"46263016.0951268"	"46632666.7478592"	"73900034.1908764"	"61195238.7040348"	"33306599.9642977"	"66776516.3202864"	"47266681.9282725"	"68166511.8227542"	"31305845.4629238"	"89198781.2513898"	"64505430.1124807"	"33784094.1531042"	"49529089.4067143"	"75988488.0379063"	"60836139.4761311"	"31931628.6595506"	"34043995.6211993"	"101727189.41818"	"4959.26973444895"	"64806620.8999929"	"57780841.1809151"	"70637761.0709029"	"66497103.8217274"	"62954734.075743"	"63211899.9795228"	"63320199.895705"	"9.5"	"8.9"	"10.0"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"8.9"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"10.0"	"9.5"	"9.5"	"8.9"	"10.0"	"10.0"	"9.5"	"9.5"	"9.5"	""	"9.5"	"10.0"	"8.9"	"9.5"	"9.5"	"9.5"	"9.5"
"166"	"D"	"False"	"Cholest-14-en-3-yl acetate"	"C29 H48 O2"	"No results"	"Invalid mass"	"No results"	"Full match"	"0.55"	"428.36567"	"429.37294"	"17.721"	"133856524.045727"	"38"	"3"	"0"	""	""	"35.2"	""	"7"	"23"	"21"	"PreferredDDA"	"[M+H]+1"	"96437557.7357254"	"99385054.9405762"	"114763126.216323"	"122263208.014077"	"62065850.4668559"	"104644772.426248"	"59728598.8409285"	"59033893.0505349"	"99751040.54025"	"78933030.8483934"	"63609411.7931575"	"81842027.1277179"	"111448211.703529"	"95715149.8694021"	"65800894.0767341"	"96882778.4444883"	"91981073.7585766"	"84565108.4959018"	"54693094.3499541"	"70259188.1701035"	"64687554.988878"	"98715955.9792534"	"99248871.4321782"	"99300769.5397384"	"117598985.942644"	"76418287.3539461"	"55876836.6418921"	"88948121.756444"	"41270.1170338393"	"99238062.8668858"	"100148045.071687"	"97550025.5723529"	"121918073.200084"	"58438516.7369602"	"121539730.496752"	"98714247.8785352"	"9.5"	"8.9"	"8.9"	"8.9"	"7.3"	"9.5"	"7.8"	"8.4"	"8.9"	"8.4"	"8.9"	"8.9"	"8.9"	"9.5"	"8.4"	"7.8"	"7.8"	"8.4"	"7.8"	"7.3"	"8.4"	"7.8"	"8.9"	"8.4"	"8.4"	"8.9"	"8.9"	"8.9"	""	"9.5"	"8.9"	"9.5"	"9.5"	"7.8"	"8.9"	"8.9"
"70"	"B"	"False"	"Prolylleucine"	"C11 H20 N2 O3"	"Full match"	"Full match"	"No results"	"Partial match"	"0.14"	"228.14742"	"229.15470"	"1.300"	"133451193.376308"	"7"	"10"	"0"	"77.3"	"8.9"	"40.3"	""	"7"	"8"	"8"	"PreferredDDA"	"[M+H]+1"	"37345463.8201864"	"85187422.6626873"	"74641787.2646381"	"51347703.8626739"	"38178098.3104792"	"51933810.4290433"	"54886823.7376737"	"135814178.777505"	"58895223.0930431"	"63573498.8711442"	"50054207.5519498"	"43747126.1886755"	"80209620.9324327"	"57824487.3934072"	"39117838.0644582"	"69435634.8770031"	"48127034.7997414"	"57114716.851649"	"30002285.5509051"	"70304727.7981097"	"64556947.2927042"	"36815879.1519503"	"45879276.530501"	"77734933.4654981"	"58029718.7549343"	"32643012.997529"	"36307829.3923272"	"89113320.2078121"	"9656.87885368781"	"70825365.7236252"	"61711783.9514054"	"55859700.1354749"	"63022940.6502103"	"60830122.0174916"	"61867732.8199502"	"68003004.7740583"	"7.3"	"6.2"	"7.8"	"7.8"	"7.8"	"7.8"	"7.8"	"7.8"	"7.3"	"7.8"	"6.2"	"7.8"	"7.3"	"7.8"	"7.8"	"7.8"	"7.3"	"7.8"	"7.8"	"7.8"	"7.3"	"7.8"	"7.8"	"7.3"	"7.8"	"7.3"	"7.3"	"7.8"	""	"7.3"	"7.8"	"7.3"	"7.8"	"6.7"	"7.8"	"7.8"
"94"	"D"	"False"	"1-Oleoyl-2-hydroxy-sn-glycero-3-PE"	"C23 H46 N O7 P"	"Full match"	"No results"	"No results"	"Full match"	"0.49"	"479.30143"	"480.30870"	"13.484"	"130497678.455487"	"6"	"0"	"0"	""	""	""	""	"7"	"2"	"1"	"PreferredDDA"	"[M+H]+1"	"40589821.1143623"	"111577622.229415"	"105433567.815993"	"100039923.368087"	"76076212.1702374"	"98920901.9444522"	"29841331.0279452"	"131708105.5193"	"54722760.613949"	"73884631.9135615"	"105936398.316436"	"38682614.3794594"	"128168971.138029"	"89966589.9768734"	"43918095.9503003"	"78204606.793549"	"98160089.4686193"	"90970777.0983814"	"31392569.9769994"	"72121618.9093391"	"47106959.9909419"	"37271167.0308988"	"44207789.2634893"	"104527060.325906"	"34645195.7887454"	"34206822.8354997"	"60338224.9582875"	"78093124.4155725"	"12653.8372167815"	"78858416.4234246"	"80062428.1375116"	"79837945.1127317"	"77642930.2579416"	"78171949.5920635"	"79325414.901702"	"80299779.8170719"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	""	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"9.5"	"9.5"
"223"	"C"	"False"	"5,7-dihydroxy-3,8-dimethoxy-2-phenyl-4H-chromen-4-one"	"C17 H14 O6"	"No match"	"Invalid mass"	"No results"	"No match"	"120828.61"	"352.02877"	"353.03604"	"1.018"	"129969578.046412"	"2"	"4"	"0"	"36.0"	"6.8"	""	""	"7"	"1"	"1"	"PreferredDDA"	"[M+H]+1"	"49064026.5638866"	"46552825.372937"	"78843777.9429763"	"73642722.5603692"	"74542610.3975076"	"74224992.0847454"	"68584065.2641616"	"60465302.8534931"	"109441919.538478"	"38964816.2672949"	"60015849.4899058"	"44443497.6592461"	"83947398.2995216"	"59309918.6256973"	"62227505.6119858"	"64161283.063853"	"58934594.5235656"	"51544265.3370729"	"78163738.4591742"	"111502068.69364"	"54650666.7158258"	"66838163.2171136"	"38486447.7709473"	"129992191.563689"	"108517910.032816"	"71485578.0830901"	"71361364.2346649"	"60120884.9883181"	"17247.4163168296"	"72485800.3289366"	"72062092.9887072"	"71257864.5949422"	"71830499.8405732"	"71973265.3880948"	"71460030.2477745"	"72715955.5005604"	""	""	""	""	""	"8.4"	""	""	""	""	""	"7.8"	"7.8"	"7.3"	""	""	""	"7.3"	""	""	"7.3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"D"	"False"	"1-Stearoyl-2-hydroxy-sn-glycero-3-PE"	"C23 H48 N O7 P"	"Full match"	"Invalid mass"	"No results"	"Full match"	"0.57"	"481.31711"	"482.32434"	"12.305"	"125065916.272512"	"4"	"3"	"0"	""	""	"29.4"	""	"7"	"3"	"2"	"PreferredDDA"	"[M+H]+1"	"81097445.2535674"	"117432712.225557"	"79979792.0721155"	"110188429.638546"	"91256397.2144123"	"107638484.462985"	"57975349.1715774"	"96515937.3979278"	"52053932.8628163"	"61361763.6838378"	"83948325.880611"	"67522999.3189132"	"113426107.12842"	"89479437.49851"	"66824742.88075"	"78597071.0307302"	"124356966.215219"	"73579602.5843554"	"41267232.8848056"	"66646574.2216569"	"70863708.9250116"	"71292576.3827869"	"82047264.4477655"	"92670872.5338829"	"42785854.6118139"	"49273134.9731581"	"83399423.0766701"	"54046865.9534721"	"10903.4457496405"	"85086680.6122976"	"85817335.7538391"	"85150457.1648105"	"82569272.2024819"	"82926643.7882554"	"85960038.9913175"	"85900235.1124934"	"9.5"	"9.5"	"10.0"	"8.9"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"10.0"	"9.5"	"8.9"	"8.9"	"8.9"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"8.9"	"9.5"	"9.5"	"9.5"	"9.5"	""	"8.9"	"8.9"	"8.9"	"9.5"	"9.5"	"9.5"	"9.5"
"64"	"D"	"False"	"2-Methyl-5-vinylpyridine"	"C8 H9 N"	"Full match"	"Invalid mass"	"No results"	"Full match"	"-0.07"	"119.07349"	"120.08077"	"1.695"	"123386300.567689"	"10"	"40"	"0"	""	""	"63.1"	""	"7"	"2"	"1"	"PreferredDDA"	"[M+H]+1"	"54392885.459069"	"76349126.4950114"	"110569591.641883"	"72652666.2728019"	"53927576.1889212"	"71905175.0574125"	"51692209.9963393"	"105142768.011165"	"94130842.3106074"	"92205443.1981912"	"70293862.563685"	"59195342.9186075"	"78315923.0162047"	"99830379.9798532"	"63882560.0817474"	"91799037.8636237"	"92265349.1344983"	"97254476.8482502"	"58513332.6869272"	"64250500.3376243"	"60008419.4506471"	"59758954.0439254"	"56597297.9389811"	"77794406.5220029"	"121944476.904781"	"51477162.0562295"	"52808302.5722235"	"98403976.7241746"	"42633.3787871035"	"78068272.3239611"	"78116738.9962467"	"81054824.0504614"	"79250113.4431712"	"79616132.9920765"	"78456438.8245364"	"78461715.5620745"	"9.5"	"9.5"	"10.0"	"10.0"	"9.5"	"10.0"	"10.0"	"9.5"	"10.0"	"10.0"	"10.0"	"9.5"	"9.5"	"10.0"	"9.5"	"10.0"	"10.0"	"10.0"	"10.0"	"9.5"	"9.5"	"10.0"	"9.5"	"9.5"	"9.5"	"9.5"	"10.0"	"9.5"	""	"9.5"	"10.0"	"9.5"	"10.0"	"10.0"	"9.5"	"9.5"
"126"	"D"	"False"	"1-nonadecanoyl-sn-glycero-3-phosphocholine"	"C27 H56 N O7 P"	"Full match"	"Invalid mass"	"No results"	"Full match"	"0.73"	"537.37983"	"538.38711"	"15.339"	"122859111.153625"	"6"	"2"	"0"	""	""	"23.0"	""	"7"	"3"	"1"	"PreferredDDA"	"[M+H]+1"	"42876132.7653024"	"90651602.5266281"	"84289672.5097554"	"65977980.2854999"	"59604170.0179125"	"60792582.8463477"	"38386511.5846356"	"92330696.5459298"	"52323940.2555231"	"56178415.8740171"	"57707517.1955617"	"53145202.487988"	"77456559.412263"	"85000127.4585409"	"51021115.0472613"	"77593255.7891953"	"122207377.294565"	"75787109.7391075"	"32452694.1777374"	"34229310.4240244"	"53745884.7950011"	"42473184.346629"	"70848042.9561179"	"61379005.6238437"	"26218239.020876"	"28054907.5186809"	"73031643.5138829"	"55910543.587053"	"24246.9483243529"	"66486148.8095122"	"66805977.5011458"	"66942249.2408954"	"66800861.0423357"	"68236346.1699958"	"66491770.5442429"	"66204390.5828568"	"8.4"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.4"	"8.9"	"8.9"	"8.4"	"8.9"	"8.9"	"8.4"	"8.9"	"8.9"	"8.9"	"9.5"	"8.4"	"8.4"	"8.4"	"8.9"	"8.9"	"8.4"	"8.9"	"8.4"	"8.4"	"8.9"	"8.9"	""	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"
"104"	"D"	"False"	"1-(10Z-heptadecenoyl)-sn-glycero-3-phosphocholine"	"C25 H50 N O7 P"	"Full match"	"Invalid mass"	"No results"	"Full match"	"0.07"	"507.33252"	"508.33978"	"12.779"	"119905080.704462"	"4"	"3"	"0"	""	""	"23.1"	""	"7"	"2"	"2"	"PreferredDDA"	"[M+H]+1"	"69625473.3596208"	"103470874.197172"	"62514909.8869296"	"95477910.7739995"	"65979107.5986416"	"94291110.5270787"	"50627748.0152866"	"101600560.152397"	"37252104.1567925"	"48183056.6582271"	"81720860.4572303"	"75157840.6936016"	"120161929.552786"	"75780692.9029679"	"68283381.9059569"	"55569217.1397879"	"84069951.5723416"	"76390761.9469669"	"43620192.3171394"	"76687458.3382515"	"83187222.1160345"	"72646673.9937471"	"82375470.7773083"	"104714787.456156"	"26219006.2970798"	"45299074.4330549"	"94841001.4719647"	"47086889.3044553"	"13216.4339293249"	"77284508.5477939"	"79111357.3238394"	"78942643.0094268"	"75732718.4187826"	"77174391.3549267"	"77775390.8004964"	"79342117.5819262"	"9.5"	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"8.9"	"10.0"	"8.9"	"10.0"	"8.9"	"8.9"	"9.5"	"9.5"	"8.9"	"8.9"	"9.5"	"8.9"	"8.9"	"8.9"	"8.9"	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"8.9"	"8.9"	""	"8.9"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"
"87"	"C"	"False"	"NP-020155"	"C11 H21 N O4"	"Full match"	"Full match"	"No results"	"Partial match"	"-0.03"	"231.14705"	"232.15433"	"2.379"	"118562961.84758"	"23"	"13"	"0"	"51.6"	"7.6"	"21.4"	""	"7"	"2"	"2"	"PreferredDDA"	"[M+H]+1"	"31886147.6791527"	"23537895.0273333"	"54917103.2595309"	"31429027.1499116"	"22072029.4507823"	"31678456.8470106"	"7598063.04219756"	"54038700.3465904"	"59240535.2689045"	"26669763.1223822"	"12146955.240235"	"8217765.16160563"	"89032445.2008385"	"49920880.3783442"	"10831916.4969141"	"40895568.8090491"	"26846096.6177033"	"39501213.024532"	"15627689.6153336"	"43802845.1546253"	"12300519.8921075"	"15435789.4878214"	"6488550.70914112"	"41090175.5305167"	"119659630.067283"	"15048347.8296892"	"17484911.1240994"	"52947517.523534"	"15041.3847914829"	"35697711.8163112"	"36051091.2912961"	"37738593.1302424"	"36424296.0092942"	"36073902.3076561"	"36209354.5322422"	"36321080.5542541"	"9.5"	"9.5"	"8.9"	"9.5"	"10.0"	"10.0"	"9.5"	"10.0"	"10.0"	"9.5"	"9.5"	"9.5"	"9.5"	"10.0"	"9.5"	"9.5"	"8.9"	"10.0"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"10.0"	""	"10.0"	"10.0"	"10.0"	"8.9"	"9.5"	"9.5"	"9.5"
